INCIDENT_ID,DATE,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE
CR_124930,21-JUN-07,0,36,34,2,1,1,0,0,5,2,174,0.0,92,93,43,1
CR_64035,11-DEC-99,0,47,48,7,3,4,2,1,6,1,316,1.0,98,62,34,1
CR_85661,01-MAR-02,5,22,22,7,3,13,18,1,6,1,316,1.0,92,29,34,1
CR_31901,07-APR-95,0,49,49,6,5,5,6,0,5,1,249,1.0,67,29,34,1
CR_73049,28-MAY-01,0,4,4,6,5,3,5,0,5,1,174,1.0,72,80,34,1
CR_148441,11-JUL-11,0,4,4,6,5,3,5,0,5,1,0,1.0,103,142,34,1
CR_99283,03-JUL-04,0,15,14,3,5,4,2,0,5,1,174,0.0,116,133,0,1
CR_152644,16-AUG-11,0,36,34,2,1,1,0,1,2,1,316,1.0,92,62,34,1
CR_187216,25-JUL-17,0,21,23,4,1,4,2,0,5,1,174,0.0,111,103,43,1
CR_165321,23-AUG-13,1,37,37,0,0,11,17,1,6,1,127,1.0,103,77,34,1
CR_198473,27-SEP-18,0,49,49,6,5,2,7,3,5,2,249,2.0,72,107,34,1
CR_92787,04-APR-03,7,21,23,4,1,9,8,2,6,3,174,3.0,112,14,34,1
CR_64799,13-FEB-00,0,4,4,6,5,7,1,0,5,1,316,1.0,72,62,34,1
CR_193653,21-APR-18,0,16,15,0,0,8,3,1,6,1,0,1.0,12,6,34,1
CR_115118,14-OCT-06,5,22,22,7,3,16,12,1,6,2,0,2.0,34,29,34,1
CR_109887,15-APR-05,0,36,34,2,1,6,4,1,2,1,316,1.0,92,142,34,1
CR_139996,19-MAY-09,1,37,37,0,0,11,17,1,1,1,299,1.0,103,130,34,1
CR_173928,07-MAY-15,0,11,11,7,3,3,5,2,5,1,316,1.0,12,62,34,1
CR_104980,14-SEP-05,0,4,4,6,5,5,6,2,6,1,174,1.0,103,29,34,1
CR_70088,05-JUL-00,0,36,34,2,1,1,0,1,6,1,249,1.0,92,93,34,1
CR_8305,12-JAN-92,0,36,34,2,1,4,2,0,2,1,299,1.0,92,142,34,1
CR_65586,07-APR-00,0,4,4,6,5,4,2,1,6,2,249,2.0,72,62,34,1
CR_9159,09-MAY-92,1,36,34,2,1,15,10,0,2,1,316,1.0,92,130,34,1
CR_31819,07-OCT-95,0,48,47,4,1,7,1,1,6,4,158,2.0,103,62,34,0
CR_16865,29-AUG-93,0,39,39,6,5,4,2,1,6,2,249,2.0,103,80,34,1
CR_21510,04-MAY-94,0,33,32,2,1,9,8,1,6,1,249,1.0,103,29,34,1
CR_156814,21-JUL-12,0,21,23,4,1,4,2,1,6,6,12,6.0,103,80,34,0
CR_27032,19-APR-95,0,16,15,0,0,1,0,2,2,1,316,1.0,72,142,34,1
CR_136415,21-JUN-09,0,5,5,3,5,3,5,1,6,2,249,2.0,103,29,34,1
CR_163234,09-OCT-13,0,21,23,4,1,2,7,3,2,1,249,1.0,2,87,34,1
CR_9501,25-APR-92,0,38,38,10,3,3,5,3,6,1,0,1.0,72,0,34,1
CR_146805,26-MAR-10,0,38,38,10,3,7,1,0,5,1,174,1.0,103,142,34,1
CR_26119,19-OCT-95,0,4,4,6,5,2,7,1,6,1,249,1.0,112,29,34,1
CR_23885,29-OCT-94,0,46,46,3,5,7,1,0,5,1,74,0.0,113,142,0,1
CR_146067,24-JUN-10,0,36,34,2,1,1,0,1,2,1,0,1.0,92,80,34,1
CR_57991,06-FEB-99,1,4,4,6,5,15,10,0,5,1,174,1.0,109,93,34,1
CR_61821,07-JUL-99,0,33,32,2,1,6,4,0,5,1,174,0.0,72,93,48,1
CR_163348,30-JUN-13,0,22,22,7,3,7,1,2,6,2,0,2.0,98,103,34,1
CR_115060,04-SEP-06,1,22,22,7,3,15,10,0,5,1,174,1.0,72,93,34,1
CR_125510,13-FEB-07,1,39,39,6,5,15,10,1,6,1,249,1.0,72,80,34,1
CR_31500,17-JUN-95,0,45,45,10,3,3,5,2,5,1,249,1.0,103,29,34,1
CR_143839,14-AUG-10,0,19,19,1,3,6,4,1,6,1,249,1.0,103,29,34,1
CR_13905,14-NOV-93,1,22,22,7,3,15,10,2,2,1,303,1.0,112,142,34,1
CR_96422,17-FEB-03,1,47,48,7,3,15,10,0,5,1,174,0.0,92,29,0,1
CR_40981,20-JUN-97,0,3,2,3,5,1,0,1,6,1,249,1.0,103,62,34,1
CR_135371,26-JUL-09,0,4,4,6,5,5,6,0,5,1,174,1.0,103,29,34,1
CR_193865,19-SEP-18,1,18,18,9,0,13,18,1,6,2,249,2.0,112,142,34,1
CR_36425,29-FEB-96,0,22,22,7,3,2,7,2,2,1,303,1.0,72,142,34,1
CR_132260,01-FEB-08,0,35,30,3,5,1,0,0,5,1,249,1.0,103,29,34,1
CR_111595,25-MAY-05,0,47,48,7,3,5,6,1,2,1,249,0.0,24,124,34,1
CR_10212,18-FEB-92,0,45,45,10,3,8,3,4,6,1,174,0.0,112,29,48,1
CR_136916,10-APR-09,7,9,10,7,3,9,8,1,5,1,249,1.0,103,130,34,1
CR_129407,03-MAR-08,0,15,14,3,5,5,6,0,5,1,174,0.0,92,130,0,1
CR_109921,28-AUG-05,1,36,34,2,1,15,10,0,5,1,174,0.0,92,29,43,1
CR_124579,11-DEC-07,0,33,32,2,1,7,1,1,6,1,249,1.0,103,62,34,1
CR_89302,17-MAR-02,0,49,49,6,5,4,2,1,6,1,316,1.0,103,29,34,1
CR_111975,17-NOV-06,0,2,3,10,3,7,1,1,5,1,174,1.0,112,93,34,1
CR_40181,09-MAR-96,0,45,45,10,3,3,5,1,6,1,174,0.0,103,29,43,1
CR_150519,16-MAR-11,7,21,23,4,1,9,8,0,5,1,174,0.0,112,93,0,1
CR_149320,14-JAN-11,0,4,4,6,5,2,7,0,5,1,174,1.0,72,93,34,1
CR_110063,12-MAR-05,0,36,34,2,1,1,0,0,5,1,174,0.0,92,93,43,1
CR_161303,11-AUG-13,0,4,4,6,5,6,4,1,6,1,174,1.0,116,14,34,1
CR_105501,25-JAN-05,0,4,4,6,5,6,4,2,6,1,174,0.0,18,138,46,1
CR_156703,09-AUG-12,0,21,23,4,1,2,7,0,5,1,249,1.0,116,29,34,1
CR_173522,03-DEC-15,0,4,4,6,5,4,2,2,2,1,316,1.0,72,142,34,1
CR_90274,22-FEB-03,0,4,4,6,5,3,5,2,3,1,249,1.0,103,103,34,1
CR_180050,30-SEP-16,0,16,15,0,0,1,0,4,6,1,249,1.0,72,29,34,1
CR_125634,04-JAN-07,0,39,39,6,5,5,6,0,5,1,174,1.0,103,119,34,1
CR_126123,30-OCT-07,0,44,44,1,3,2,7,1,2,1,0,1.0,34,107,34,1
CR_140250,30-JUL-09,0,37,37,0,0,3,5,0,5,1,249,1.0,98,130,34,1
CR_22681,18-JAN-94,0,37,37,0,0,4,2,1,6,1,249,1.0,103,29,34,1
CR_26604,27-APR-95,5,8,7,7,3,18,13,2,6,1,316,1.0,98,29,34,1
CR_140343,18-AUG-09,0,38,38,10,3,6,4,1,6,1,316,1.0,98,87,34,1
CR_79772,04-MAY-01,0,36,34,2,1,4,2,0,5,1,174,0.0,103,93,43,1
CR_115782,20-APR-06,0,24,24,0,0,7,1,1,1,2,249,2.0,59,130,34,1
CR_109842,23-NOV-05,0,35,30,3,5,1,0,1,6,12,249,12.0,103,29,34,1
CR_71017,02-OCT-00,0,40,40,2,1,5,6,1,6,1,316,1.0,103,80,34,1
CR_30680,25-JUL-95,0,37,37,0,0,2,7,3,2,1,316,1.0,72,142,34,1
CR_51048,14-FEB-98,0,8,7,7,3,6,4,0,5,1,174,1.0,72,29,34,1
CR_67471,21-OCT-00,0,17,16,0,0,6,4,2,2,1,303,1.0,72,142,34,1
CR_198415,18-JUL-18,0,49,49,6,5,2,7,1,6,1,174,0.0,72,93,23,1
CR_128020,07-MAY-08,7,4,4,6,5,9,8,0,5,1,174,1.0,112,119,34,1
CR_13728,26-OCT-93,1,22,22,7,3,15,10,0,5,1,174,1.0,103,62,34,1
CR_154888,25-MAR-12,0,4,4,6,5,1,0,0,5,1,174,0.0,18,93,46,1
CR_138025,05-MAR-09,0,24,24,0,0,4,2,1,2,1,316,1.0,72,119,34,1
CR_110879,17-NOV-05,7,42,42,7,3,9,8,0,5,1,174,0.0,92,29,0,1
CR_149624,22-AUG-11,0,5,5,3,5,2,7,1,6,1,249,1.0,103,29,34,1
CR_106684,06-MAY-05,3,9,10,7,3,18,13,2,2,1,316,1.0,112,142,34,1
CR_122912,26-MAY-07,0,24,24,0,0,4,2,1,5,1,316,1.0,92,115,34,1
CR_141175,08-OCT-09,0,47,48,7,3,7,1,0,5,1,174,0.0,54,130,0,1
CR_156314,28-MAY-12,0,18,18,9,0,3,5,0,5,1,174,1.0,103,29,34,1
CR_130943,11-MAY-08,0,25,25,9,0,6,4,1,5,1,316,1.0,72,80,34,1
CR_74536,17-MAR-01,0,4,4,6,5,1,0,0,5,1,249,1.0,98,93,34,1
CR_147016,24-FEB-10,0,41,41,4,1,8,3,1,6,1,316,1.0,72,103,34,1
CR_22782,10-AUG-94,0,37,37,0,0,2,7,1,2,2,249,2.0,72,142,34,1
CR_61811,04-FEB-99,0,33,32,2,1,6,4,0,5,1,174,0.0,116,103,0,1
CR_54282,04-DEC-98,1,36,34,2,1,11,17,0,5,1,249,1.0,92,130,34,1
CR_85140,01-DEC-02,7,21,23,4,1,9,8,0,5,1,174,0.0,112,93,34,1
CR_121452,01-MAR-07,0,7,8,7,3,2,7,1,2,1,316,1.0,2,87,34,1
CR_37965,26-MAR-96,0,33,32,2,1,7,1,1,6,1,316,1.0,112,29,34,1
CR_195163,08-JUL-18,1,25,25,9,0,16,12,1,1,1,249,1.0,109,87,34,1
CR_55349,05-OCT-98,0,39,39,6,5,6,4,2,6,2,316,2.0,12,62,34,1
CR_121685,18-FEB-07,1,9,10,7,3,15,10,2,6,1,174,1.0,92,107,34,1
CR_141805,24-DEC-10,0,3,2,3,5,1,0,1,6,1,316,1.0,103,142,34,1
CR_17670,06-DEC-93,0,45,45,10,3,3,5,0,5,1,249,1.0,103,130,34,1
CR_160737,29-OCT-12,0,49,49,6,5,2,7,0,5,1,328,1.0,103,0,34,1
CR_185799,01-AUG-17,1,4,4,6,5,16,12,2,6,1,316,1.0,87,80,34,1
CR_125521,13-JAN-07,1,39,39,6,5,11,17,0,5,1,174,0.0,92,93,0,1
CR_153038,20-DEC-11,0,37,37,0,0,9,8,2,6,2,316,2.0,54,107,34,1
CR_155305,14-MAY-12,0,4,4,6,5,2,7,1,6,1,0,1.0,72,107,34,1
CR_158306,27-SEP-12,0,33,32,2,1,6,4,0,5,1,174,0.0,103,93,43,1
CR_36604,13-JUN-96,0,24,24,0,0,7,1,1,0,1,0,1.0,54,142,34,1
CR_32660,11-DEC-96,0,4,4,6,5,6,4,1,6,1,316,1.0,72,80,34,1
CR_156654,23-NOV-12,0,21,23,4,1,6,4,1,6,1,249,1.0,72,29,34,1
CR_33454,06-OCT-96,0,4,4,6,5,4,2,0,5,1,174,0.0,112,93,48,1
CR_47976,03-AUG-97,0,43,43,9,0,4,2,0,5,4,60,2.0,109,124,9,0
CR_94689,29-JUN-03,0,36,34,2,1,5,6,1,6,1,249,1.0,92,29,34,1
CR_94650,05-JUL-03,0,35,30,3,5,1,0,1,6,3,0,3.0,92,80,34,1
CR_98604,09-OCT-04,0,4,4,6,5,5,6,1,6,1,0,1.0,103,29,34,1
CR_172461,07-JAN-15,0,3,2,3,5,1,0,0,5,1,174,0.0,18,133,46,1
CR_137008,02-MAR-09,0,16,15,0,0,8,3,1,6,1,0,1.0,103,29,34,1
CR_128037,25-JUL-08,0,4,4,6,5,4,2,0,5,1,174,1.0,72,119,34,1
CR_198398,20-AUG-18,0,49,49,6,5,2,7,1,6,3,249,3.0,48,119,34,1
CR_122485,10-SEP-07,0,21,23,4,1,2,7,0,5,1,174,1.0,72,93,34,1
CR_616,01-MAY-91,0,21,23,4,1,4,2,2,6,2,316,2.0,92,80,34,1
CR_117108,07-APR-06,0,35,30,3,5,1,0,1,2,1,316,1.0,84,142,34,1
CR_77292,09-JUN-01,0,23,21,4,1,5,6,1,6,1,249,1.0,113,29,34,1
CR_166186,29-DEC-13,0,45,45,10,3,2,7,1,6,1,0,1.0,103,107,34,1
CR_60652,31-MAY-99,1,24,24,0,0,11,17,2,6,1,249,1.0,103,93,34,1
CR_80683,03-DEC-01,0,42,42,7,3,7,1,0,5,1,74,0.0,34,115,0,1
CR_47142,29-MAY-97,1,36,34,2,1,15,10,1,5,1,249,1.0,92,93,34,1
CR_76914,11-MAR-01,0,21,23,4,1,2,7,1,5,1,249,1.0,103,29,34,1
CR_164716,12-JUL-13,0,35,30,3,5,4,2,2,2,1,0,1.0,24,80,34,1
CR_190662,05-JUL-17,0,45,45,10,3,8,3,1,6,4,0,4.0,72,79,34,1
CR_11906,02-SEP-93,0,6,6,4,1,4,2,0,5,1,249,1.0,103,130,34,1
CR_163667,27-JAN-13,0,24,24,0,0,5,6,2,5,1,249,1.0,103,93,34,1
CR_33133,22-FEB-96,0,4,4,6,5,1,0,1,6,1,316,1.0,72,80,34,1
CR_120041,08-MAR-07,0,4,4,6,5,4,2,0,5,1,174,0.0,116,119,0,1
CR_101289,08-JUN-04,0,28,28,3,5,5,6,1,6,1,316,1.0,112,77,34,1
CR_83167,15-MAY-02,7,4,4,6,5,9,8,0,5,1,249,1.0,112,93,34,1
CR_14181,18-AUG-93,0,24,24,0,0,5,6,1,6,1,249,1.0,72,29,34,1
CR_133994,14-JUL-08,0,44,44,1,3,7,1,1,2,1,249,1.0,109,29,34,1
CR_36450,01-SEP-96,0,23,21,4,1,6,4,1,6,2,263,2.0,72,29,34,0
CR_73320,06-JAN-01,0,4,4,6,5,1,0,1,6,1,249,1.0,103,29,34,1
CR_64657,01-FEB-00,0,3,2,3,5,3,5,1,5,1,249,1.0,92,62,34,1
CR_34024,25-NOV-96,0,4,4,6,5,2,7,1,1,1,303,1.0,72,62,34,1
CR_189499,10-FEB-17,0,36,34,2,1,1,0,1,5,1,174,,103,93,43,1
CR_56345,09-AUG-98,0,49,49,6,5,6,4,1,6,1,249,1.0,103,29,34,1
CR_152601,16-JUN-11,0,36,34,2,1,1,0,0,5,1,249,1.0,103,93,34,1
CR_167182,03-FEB-14,0,4,4,6,5,5,6,0,5,1,249,1.0,98,29,34,1
CR_185663,12-JAN-17,1,4,4,6,5,15,10,0,5,1,249,1.0,103,29,34,1
CR_102000,09-DEC-04,0,33,32,2,1,8,3,3,5,3,249,3.0,92,87,34,1
CR_158872,10-JAN-12,0,36,34,2,1,1,0,0,5,2,174,0.0,103,93,43,1
CR_481,12-APR-91,0,16,15,0,0,1,0,1,5,1,316,1.0,112,29,34,1
CR_46902,02-APR-97,0,36,34,2,1,1,0,1,2,1,0,1.0,92,142,34,1
CR_50075,13-MAY-98,0,4,4,6,5,3,5,1,6,1,316,1.0,72,29,34,1
CR_24132,07-JAN-94,3,49,49,6,5,9,8,1,6,1,249,1.0,2,29,34,1
CR_173451,26-APR-15,1,4,4,6,5,16,12,0,5,1,174,0.0,103,93,43,1
CR_46043,08-APR-97,0,33,32,2,1,5,6,0,5,1,174,0.0,18,138,46,1
CR_76699,12-OCT-01,0,21,23,4,1,5,6,1,6,1,316,1.0,2,29,34,1
CR_94028,29-DEC-03,0,33,32,2,1,6,4,0,5,1,174,0.0,18,93,46,1
CR_164179,15-OCT-13,0,31,36,9,0,6,4,0,5,1,162,0.0,113,142,0,1
CR_128762,17-MAR-08,0,5,5,3,5,4,2,0,5,1,174,1.0,103,93,34,1
CR_17159,03-APR-93,0,40,40,2,1,1,0,1,5,1,174,1.0,92,93,34,1
CR_198161,20-JAN-18,0,49,49,6,5,5,6,1,1,1,0,1.0,103,29,34,1
CR_77190,09-AUG-01,1,22,22,7,3,15,10,0,5,1,174,1.0,103,29,34,1
CR_16390,26-FEB-93,7,36,34,2,1,9,8,1,6,1,249,1.0,92,80,34,1
CR_19758,01-MAY-94,0,15,14,3,5,8,3,2,6,2,249,2.0,103,29,34,1
CR_91159,15-MAY-03,0,4,4,6,5,2,7,1,2,1,249,1.0,72,142,34,1
CR_50742,19-JUL-98,0,4,4,6,5,4,2,1,6,1,174,1.0,103,93,34,1
CR_98434,12-SEP-04,0,4,4,6,5,2,7,1,6,1,316,1.0,116,62,34,1
CR_137521,29-JAN-09,0,21,23,4,1,6,4,1,6,1,174,0.0,18,93,46,1
CR_136155,02-FEB-09,0,4,4,6,5,5,6,1,5,1,249,1.0,24,142,34,1
CR_147383,14-NOV-10,0,45,45,10,3,5,6,3,6,1,0,1.0,98,142,34,1
CR_100541,28-JAN-04,0,24,24,0,0,6,4,2,6,2,0,0.0,103,29,34,1
CR_118306,06-JUL-06,1,42,42,7,3,12,16,0,5,1,127,1.0,103,115,34,1
CR_64574,03-MAR-00,0,3,2,3,5,1,0,2,6,1,316,1.0,72,29,34,1
CR_12838,18-JUN-93,0,16,15,0,0,8,3,1,2,1,316,1.0,72,29,34,1
CR_93341,23-JUL-03,0,24,24,0,0,5,6,1,2,1,249,0.0,98,142,34,1
CR_197211,11-MAR-18,5,40,40,2,1,16,12,1,6,1,249,1.0,58,29,34,1
CR_67809,05-APR-00,0,21,23,4,1,7,1,0,5,1,174,0.0,112,93,43,1
CR_110981,29-JUN-05,1,44,44,1,3,11,17,1,5,1,174,0.0,103,29,34,1
CR_158034,10-OCT-12,0,33,32,2,1,7,1,0,5,1,174,0.0,116,62,0,1
CR_10150,29-JUL-92,0,45,45,10,3,7,1,1,2,1,174,1.0,72,142,34,1
CR_97610,14-JAN-04,0,4,4,6,5,1,0,1,6,1,316,1.0,34,130,34,1
CR_92038,29-NOV-03,0,16,15,0,0,5,6,0,5,1,174,0.0,103,29,43,1
CR_139261,21-MAR-09,0,33,32,2,1,5,6,0,5,1,174,0.0,92,62,43,1
CR_19288,18-NOV-94,0,6,6,4,1,4,2,0,5,1,249,1.0,103,62,34,1
CR_117256,13-JUN-06,1,36,34,2,1,15,10,0,5,2,174,0.0,92,93,0,1
CR_176619,26-SEP-15,0,37,37,0,0,8,3,1,6,2,231,2.0,98,77,34,1
CR_10136,07-JUN-92,0,45,45,10,3,2,7,1,6,1,316,1.0,72,80,34,1
CR_93485,14-AUG-03,0,24,24,0,0,4,2,1,5,1,174,0.0,92,93,46,1
CR_166946,03-FEB-14,0,3,2,3,5,1,0,1,6,1,316,1.0,109,62,34,1
CR_23846,06-SEP-94,0,45,45,10,3,2,7,1,6,1,316,1.0,112,119,34,1
CR_35143,17-AUG-96,0,16,15,0,0,6,4,1,5,1,249,1.0,103,29,34,1
CR_132712,15-OCT-08,0,36,34,2,1,1,0,1,2,1,316,1.0,92,142,34,1
CR_108422,21-MAR-05,0,24,24,0,0,5,6,1,6,1,249,1.0,72,29,34,1
CR_12091,15-NOV-93,0,9,10,7,3,6,4,5,6,2,316,2.0,72,62,34,1
CR_625,07-JUN-91,0,21,23,4,1,5,6,1,6,2,179,1.0,92,142,34,0
CR_159884,21-SEP-12,0,44,44,1,3,4,2,1,6,1,299,1.0,92,80,34,1
CR_71220,13-OCT-00,1,44,44,1,3,16,12,1,5,1,174,0.0,112,29,23,1
CR_51361,17-SEP-98,0,15,14,3,5,7,1,1,6,1,316,1.0,112,93,34,1
CR_154424,06-FEB-12,0,3,2,3,5,4,2,1,6,3,0,3.0,98,80,34,1
CR_63566,15-JUL-99,0,45,45,10,3,6,4,0,5,1,174,1.0,103,29,34,1
CR_178864,07-JUN-16,0,4,4,6,5,1,0,1,5,1,249,1.0,72,142,34,1
CR_130028,22-MAR-08,0,21,23,4,1,2,7,1,5,1,249,1.0,103,142,34,1
CR_155157,02-MAY-12,0,4,4,6,5,3,5,3,6,1,316,1.0,72,29,34,1
CR_59246,16-JUN-99,1,9,10,7,3,15,10,1,2,1,0,1.0,72,107,34,1
CR_119761,21-MAR-07,7,3,2,3,5,9,8,0,5,1,174,0.0,112,119,43,1
CR_149812,15-JUL-11,0,7,8,7,3,2,7,1,2,1,316,1.0,72,62,34,1
CR_182348,12-AUG-16,0,36,34,2,1,1,0,1,5,1,174,0.0,103,87,43,1
CR_88610,27-APR-02,0,45,45,10,3,6,4,1,6,1,316,1.0,103,29,34,1
CR_139432,18-JUL-09,0,36,34,2,1,3,5,1,2,1,316,1.0,92,142,34,1
CR_95167,06-NOV-03,1,36,34,2,1,15,10,0,5,1,174,0.0,92,29,43,1
CR_150138,20-JUL-11,0,17,16,0,0,5,6,1,6,2,0,2.0,54,62,34,1
CR_186311,22-NOV-17,0,9,10,7,3,2,7,2,5,1,174,,10,80,0,1
CR_103931,11-JAN-04,0,46,46,3,5,6,4,0,5,1,328,0.0,98,142,34,1
CR_46579,11-AUG-97,1,36,34,2,1,15,10,1,6,1,249,1.0,92,29,34,1
CR_175052,12-AUG-15,0,24,24,0,0,4,2,1,2,1,174,0.0,111,115,43,1
CR_100746,30-JUL-04,0,24,24,0,0,6,4,0,5,1,316,0.0,72,142,34,1
CR_119034,05-DEC-06,7,47,48,7,3,9,8,0,5,1,174,0.0,112,29,23,1
CR_152525,01-FEB-11,0,36,34,2,1,1,0,0,5,1,127,1.0,103,62,36,0
CR_38457,18-MAR-96,1,36,34,2,1,15,10,1,6,1,174,0.0,18,133,46,1
CR_42330,26-JUL-97,0,4,4,6,5,1,0,1,6,1,316,1.0,103,62,34,1
CR_161508,29-JAN-13,7,4,4,6,5,9,8,0,5,1,174,0.0,110,93,46,1
CR_126844,10-AUG-07,0,49,49,6,5,7,1,0,5,3,249,3.0,103,29,34,1
CR_180349,14-NOV-16,0,19,19,1,3,6,4,0,5,2,174,2.0,103,62,34,1
CR_58558,01-NOV-99,0,4,4,6,5,2,7,3,6,2,174,2.0,98,62,34,1
CR_171484,11-SEP-14,1,44,44,1,3,11,17,1,6,1,249,1.0,103,29,34,1
CR_152281,12-MAY-11,0,33,32,2,1,7,1,1,6,1,249,1.0,113,87,34,1
CR_13308,04-APR-93,0,21,23,4,1,7,1,1,6,1,174,1.0,92,93,34,1
CR_59413,03-SEP-99,0,15,14,3,5,4,2,0,5,1,174,1.0,72,62,34,1
CR_501,15-AUG-91,0,16,15,0,0,1,0,3,6,1,0,1.0,72,29,34,1
CR_24767,25-NOV-95,1,4,4,6,5,15,10,0,5,1,174,1.0,103,142,34,1
CR_126708,25-AUG-07,0,47,48,7,3,4,2,0,5,1,174,0.0,18,93,46,1
CR_106708,14-AUG-05,1,9,10,7,3,15,10,3,6,2,0,2.0,72,107,34,1
CR_105347,18-NOV-05,0,4,4,6,5,1,0,1,6,1,316,1.0,72,103,34,1
CR_8801,09-OCT-92,0,36,34,2,1,1,0,0,2,2,316,2.0,92,142,34,1
CR_91118,24-AUG-03,0,4,4,6,5,2,7,1,6,1,249,1.0,103,93,34,1
CR_136622,06-JUL-09,0,6,6,4,1,5,6,0,5,1,174,0.0,54,29,23,1
CR_103209,25-MAY-04,0,39,39,6,5,2,7,2,6,1,303,1.0,72,130,34,1
CR_197509,26-MAR-18,0,45,45,10,3,8,3,0,5,1,225,1.0,40,130,34,1
CR_39711,20-JUN-96,0,39,39,6,5,3,5,1,2,1,249,1.0,24,142,34,1
CR_13597,02-JAN-93,1,22,22,7,3,15,10,0,5,1,174,1.0,72,93,34,1
CR_103345,21-SEP-04,0,40,40,2,1,3,5,1,6,1,249,1.0,72,29,34,1
CR_99583,28-JAN-04,1,18,18,9,0,12,16,0,5,1,328,0.0,92,142,0,1
CR_176133,26-JUL-15,1,36,34,2,1,15,10,1,6,1,316,1.0,92,80,34,1
CR_180573,02-DEC-16,0,21,23,4,1,4,2,0,5,1,174,0.0,111,93,43,1
CR_42943,15-MAR-97,7,4,4,6,5,9,8,0,5,1,174,0.0,112,62,48,1
CR_112911,30-JUL-06,0,4,4,6,5,6,4,0,5,1,174,1.0,103,29,34,1
CR_70057,22-APR-00,0,36,34,2,1,1,0,0,5,1,174,0.0,103,93,43,1
CR_193828,19-FEB-18,0,17,16,0,0,2,7,1,2,1,0,1.0,103,62,34,1
CR_74327,24-DEC-01,0,4,4,6,5,3,5,1,6,1,0,1.0,72,103,34,1
CR_189730,07-OCT-17,5,36,34,2,1,18,13,1,5,1,127,,103,87,43,1
CR_48956,08-FEB-98,0,3,2,3,5,1,0,0,5,1,174,1.0,103,103,34,1
CR_186444,27-JUL-17,1,15,14,3,5,16,12,0,5,1,174,1.0,98,87,34,1
CR_125324,30-JUL-07,0,37,37,0,0,7,1,2,6,1,249,1.0,92,29,34,1
CR_51607,28-SEP-98,0,16,15,0,0,1,0,2,2,1,0,1.0,72,62,34,1
CR_71828,05-AUG-00,0,47,48,7,3,8,3,1,6,1,330,0.0,113,29,48,1
CR_68729,31-OCT-00,0,24,24,0,0,7,1,1,5,1,174,1.0,72,142,34,1
CR_65899,19-JUL-00,0,4,4,6,5,6,4,0,5,1,174,0.0,18,138,46,1
CR_116886,19-JAN-06,0,33,32,2,1,5,6,0,5,1,127,0.0,103,93,43,1
CR_64513,20-APR-00,0,3,2,3,5,1,0,3,1,5,0,5.0,92,80,34,1
CR_184512,10-AUG-17,0,3,2,3,5,3,5,2,6,1,0,1.0,98,29,34,1
CR_32248,26-SEP-96,0,3,2,3,5,1,0,0,5,1,249,1.0,24,14,34,1
CR_18394,15-FEB-93,0,49,49,6,5,2,7,1,6,1,249,1.0,72,14,34,1
CR_105114,19-MAR-05,0,4,4,6,5,6,4,2,6,1,303,1.0,98,29,34,1
